year,make,model
2001,DODGE,CARAVAN
2001,DODGE,DAKOTA
2001,DODGE,DURANGO
2001,DODGE,GRAND CARAVAN
2001,DODGE,INTREPID
2001,DODGE,NEON
2001,DODGE,RAM 1500
2001,DODGE,RAM 1500 PICKUP
2001,DODGE,RAM 1500 TRUCK
2001,DODGE,RAM 1500 VAN
2001,DODGE,RAM 2500
2001,DODGE,RAM 2500 PICKUP
2001,DODGE,RAM 2500 TRUCK
2001,DODGE,RAM 2500 VAN
2001,DODGE,RAM 3500
2001,DODGE,RAM 3500 PICKUP
2001,DODGE,RAM 3500 TRUCK
2001,DODGE,RAM 3500 VAN
2001,DODGE,RAM 4000
2001,DODGE,STRATUS
2001,DODGE,VIPER
2001,DUCATI,748
2001,DUCATI,748 MONOPOSTO
2001,DUCATI,748R
2001,DUCATI,748S
2001,DUCATI,748S MONOPOSTO
2001,DUCATI,750 SPORT
2001,DUCATI,900
2001,DUCATI,996 BIPOSTO
